Duration,log_votes,movie_age,Year,genre_drama,genre_action,genre_romance,genre_comedy,genre_crime,genre_thriller,genre_family,genre_musical,genre_mystery,genre_adventure,director_encoded,director_movie_count,actor_1_encoded,actor_1_movie_count,actor_2_encoded,actor_2_movie_count,actor_3_encoded,actor_3_movie_count,Rating
127,3.5553480614894135,39,1987,1,0,0,0,0,0,0,1,0,0,5.484405535076941,2,5.894191094728219,5,5.876072201743607,2,5.700804151307706,6,4.1
120,6.1092475827643655,7,2019,0,0,0,0,0,1,0,0,0,0,5.855715129174845,1,6.234048134495739,8,5.739451263147946,3,5.745159245606849,8,5.3
130,5.521460917862246,7,2019,1,1,0,0,0,0,0,0,0,0,5.855715129174845,1,5.776072201743607,2,5.855715129174845,1,5.83440553507694,2,5.3
122,8.605204068738951,17,2009,0,1,0,0,0,0,0,0,1,0,6.519660305758252,11,5.528400721966557,82,5.778492578940183,8,5.436948473678331,12,5.4
115,3.091042453358316,5,2021,1,0,0,0,0,0,0,0,1,1,5.973896947356663,1,5.973896947356663,1,5.973896947356663,1,5.973896947356663,1,6.6
119,4.204692619390966,23,2003,0,0,0,0,0,1,0,0,1,0,5.892738868410274,2,5.908682032378715,3,5.62234760149452,4,5.80116967462939,1,4.7
124,2.302585092994046,9,2017,0,1,0,0,0,0,0,0,0,0,5.855715129174845,1,5.39015086425912,9,5.855715129174845,1,5.855715129174845,1,5.3
135,7.92588031673756,17,2009,1,0,0,1,1,0,0,0,0,0,6.127524428061552,5,6.127524428061552,5,5.687524428061552,5,5.900804151307705,6,7.3
128,7.550661243105336,7,2019,0,0,1,0,0,0,0,1,0,0,6.0466242200839355,1,6.0466242200839355,1,6.0466242200839355,1,6.0466242200839355,1,7.4
90,3.6635616461296463,21,2005,1,0,0,0,1,0,0,0,0,0,5.810260583720299,1,5.322347601494521,4,5.810260583720299,1,5.810260583720299,1,4.8
105,6.023447592961033,10,2016,1,0,0,0,0,0,0,0,0,0,6.110260583720299,1,6.110260583720299,1,6.110260583720299,1,6.110260583720299,1,8.1
145,2.3978952727983707,9,2017,1,0,0,0,0,0,0,0,0,0,5.946624220083936,1,5.946624220083936,1,5.946624220083936,1,5.946624220083936,1,6.3
110,8.442038517815478,10,2016,1,0,0,0,0,1,0,0,0,0,6.055715129174845,1,6.243776172923092,4,5.9548358785325615,3,5.807524428061553,5,7.5
72,2.3978952727983707,11,2015,0,0,0,0,0,0,0,0,0,0,6.073896947356662,1,7.100201037826927,54,7.047450176569067,83,6.927791280160949,120,7.7
150,5.19295685089021,21,2005,0,0,0,0,0,0,0,0,1,0,5.992078765538481,1,5.579490458637379,4,5.992078765538481,1,5.992078765538481,1,6.8
103,5.313205979041787,16,2010,1,0,1,0,0,0,0,0,0,0,5.526072201743607,2,5.593762214030777,20,5.542738868410274,2,5.609405535076941,2,4.5
151,8.329899292995725,10,2016,0,1,0,1,0,0,0,0,0,1,5.244554151307706,6,4.988304151307705,6,5.2508041513077055,6,5.646624220083935,1,3.0
109,5.204006687076795,6,2020,0,0,1,1,0,0,0,0,0,0,5.793297416994099,3,5.946624220083936,1,5.946624220083936,1,5.946624220083936,1,6.3
145,8.561784074744113,9,2017,0,1,0,1,0,0,0,0,0,0,6.127524428061552,5,6.127524428061552,5,5.800989724686407,3,5.708682032378714,3,6.2
95,3.5263605246161616,7,2019,1,0,1,0,0,0,0,0,0,0,6.10116967462939,1,6.10116967462939,1,5.95940553507694,2,5.9317589554556385,3,8.0
